Num;Old_Num;MOTS_AR;MOTS_fr;DESIGNATION;DESIGNATION_fr;chairdappartenance;Sous_Chapitre
1;1;الإبرار البحري الاستعراضي;Débarquement naval démonstratif;إبرار تمثيلي مشابه للإبرار الحقيقي يتم تنفيذه في مناطق أو على اتجاهات بعيدة عن الاتجاه الرئيسي بهدف تضليل العدو عن عملية الإبرار الحقيقية التي تجري في مكان آخر من الشريط الساحلي أو على جزيرة معينة. يتوقف نجاح الإبرار الحقيقي بدرجة كبيرة على مدى نجاح الإبرار الاستعراضي ومغالطة العدو.;Débarquement similaire au débarquement réel, il est exécuté dans des zones ou sur des directions éloignées de l’axe d’effort principal, afin d’induire l'ennemi en erreur  sur l’opération de débarquement réel, qui se déroule dans une autre zone côtière ou sur une île. Le succès du débarquement réel dépend en grande partie de la réussite de l’opération de débarquement démonstratif et du leurre de  l’ennemi.;قوات بحرية;20
2;2;الاتجاه الإستراتيجي;Direction Stratégique;هو جزء من المنطقة الإستراتيجية وما يحيط به من بحار وما يعلوه من مجال جوي، حيث تنتشر في نطاق حدوده المفترضة مراكز اقتصادية، عسكرية وإدارية ذات أهمية إستراتيجية. كما تتواجد في حدوده وقت السلم، تجمعات قوات عملياتية استراتيجية، يمكنها إجراء أعمال حربية وقت الحرب على هذا الإتجاه.;C’est une Partie de la zone stratégique et ce qu’elle englobe comme espace maritime et aérien, où sont implantés des centres économiques, militaires et administratifs d’une importance stratégique. dans ses limites, sont aussi déployés, en temps de paix, des groupements de forces opératives-stratégiques, qui peuvent mener des actions militaires sur cette direction en temps de guerre.;إستراتيجية;20
3;3;الاتجاه الرئيسي;Direction principale;نطاق (قطاع) من الأرض أين تركز المجهودات الرئيسية للقوى والوسائل لتحقيق الأهداف المسطرة للحرب أو للعملية والقتال. على المستوى الاستراتيجي، الاتجاه الرئيسي قد يكون عبارة عن مسرح أعمال حربية واحد أو عدة مسارح أو اتجاه استراتيجي وأحيانا حتى عملياتي. على المستويين العملياتي والتكتيكي: الاتجاه الرئيسي قد يكون عبارة عن اتجاه تركيز المجهودات الرئيسية في الدفاع، واتجاه الضربة الرئيسية في الهجوم. يحدد الاتجاه الرئيسي على أساس التقدير الشامل للموقف السياسي العسكري وعلى الإمكانيات الحقيقية للقوات الصديقة وللقوات المعادية.;Portion (secteur)du territoire sur laquelle sont concentrés les efforts principaux des forces et moyens pour atteindre les objectifs fixés de la guerre ou de l’opération et du combat. Au niveau stratégique, la direction principale peut englober un ou plusieurs théâtres de guerre ou une seule direction stratégique et parfois même, une seule direction d’opération. Au niveau opératif et tactique, la direction principale peut être représentée par l’axe de concentration des efforts principaux en défensive ou par l’axe de frappe  principale en offensive. La direction principale est déterminée sur la base de l'évaluation globale du contexte politico-militaire et des capacités réelles des  forces amies et ennemies.;إستراتيجية;20
4;4;اتفاق عسكري/ اتفاقية عسكرية;Accord militaire  Convention militaire ;هو تفاهم موثق يعقده القادة العسكريون للدول المتحاربة، ويتعلق بوضعية الجيوش التابعة لها والمناطق الخاضعة لسلطتها، كوقف القتال، أو إعلان الهدنة، أو الاستسلام. يمكن عقد مثل هذا الاتفاق وقت السلم بين الدول والجيوش لتبادل الخبرات والتجارب.;"Entente écrite notifiée, conclue par les chefs militaires des États belligérants  qui a trait aux positions de leurs armées respectives ainsi qu’aux  zones sous leur tutelle.
L’accord militaire implique, l'arrêt des combats ou la déclaration de trêve ou la capitulation. En temps de paix,  ce genre d’accord peut être contracté afin de permettre l’échange d’expériences";إستراتيجية;20
5;5;الإجرام السبيراني;Cybercriminalité;مجموعة الجرائم الجنائية التي تستهدف تكنولوجيا المعلومات والاتصالات وكذا تلك التي ترتكب أو يسهل أو يتعلق ارتكابها باستخدام هذه التكنولوجيات.;Ensemble des infractions pénales visant  les Technologies de l'Information et de la Communication, ainsi que celles commises, facilitant ou en relation avec l’utilisation de ces technologies.;إشارة و حرب إلكترونية;20
6;6;إحباط المعنويات;Démoralisation;هو التفكك المعنوي والانهيار النفسي وتلاشي الانضباط والاحترام. عند تدني معنويات الأفراد، تفقد القوات الروح المعنوية-القتالية اللازمة، كما تفقد القدرة على تحمل أعباء الحرب ومتطلبات القتال وتبدي الميول نحو التراجع والاستسلام للعدو والوقوع في الأسر. قد يكون تدني المعنويات نتيجة العلاقات والتعامل السلبي للكثير من المقاتلين مع أهداف الحرب. يتسارع مسار إنهيار المعنويات بشدة تحت تأثير بعض العوامل كالهفوات السياسية والعسكرية المرتكبة في تنظيم الصراع المسلح والنتائج السلبية للعمليات وللحرب ككل ووقوع بعض القوات في الحصار والخسائر الكبيرة والإرهاق الذي قد يعاني منه الأفراد وقلة التموين والإمدادات المادية والمعلومات الطارئة حول الوضع في المؤخرات والتأثير الإيديولوجي للعدو والنقص في التحضير والدعم المعنوي السيكولوجي للأفراد والقوات.;C’est la déliquescence morale et l’effondrement psychologique ainsi que le relâchement de la discipline et du respect. Lorsque la troupe est démoralisée, les forces perdent leur esprit combatif et la capacité à supporter les effets de la guerre et les exigences du combat, elles deviennent ainsi enclin au repli, et aux capitulations en se constituant prisonnières. La détérioration du moral peut résulter des perceptions négatives de la part des combattants envers les objectifs de la guerre. Elle peut être fortement aggravée par les effets de certains facteurs tels que les erreurs politiques et militaires commises dans la gestion du conflit armé, les conséquences négatives des opérations et de la guerre dans son ensemble, l’encerclement de certaines forces, l’enregistrement de pertes considérables, l’essoufflement des personnels, l’insuffisance de l'approvisionnement, du soutien matériel, d’informations urgentes sur la situation des arrières, l’influence idéologique de l'ennemi, l’insuffisance dans la préparation et le manque du soutien moral et psychologique des forces.;سطع;20
7;7;الاحتلال العسكري;Occupation militaire;شكل من اشكال العدوان تستولي بمقتضاه دولة أو أكثر على إقليم. أو جزء من إقليم دولة أخرى بالقوة، وهو مخالف للقوانين والأعراف الدولية لاسيما اتفاقيتي لاهاي 1889 و 1907 واتفاقيات جنيف الاربعة 1949 والبروتكولان الاضافيان 1977. يخضع الاحتلال العسكري الى قوانين ومعايير محددة في ميثاق الامم المتحدة خاصة تطبيق القانون الدولي الإنساني واحترام حقوق الإنسان.;"L’une des formes d’agression par laquelle un état ou plus s’empare d’un territoire où d’une partie du territoire d’un autre état par l’utilisation de la force, ce qui est contraire aux lois et coutumes internationales, notamment les conventions de La Haye des 1889 et 1907 et les quatre (04) conventions de Genève de 1949, ainsi que les deux protocoles complémentaires de 1977. 
L‘occupation militaire est soumise aux lois et normes définies dans la charte des Nations Unies, notamment l’application du Droit international humanitaire et le respect des Droits de l’homme.";إستراتيجية;20
8;8;احتواء النزاع المسلح;Endiguement du conflit armé;"هو منع وصول التشكيلات المسلحة إلى منطقة النزاع والتزود بالوسائل المادية برا، بحرا وجوا بهدف الحد من انتشار الاشتباكات المسلحة والتقليص من حدة الأعمال القتالية وخلق الظروف المواتية لتسوية النزاع بطريقة سلمية في أقرب وقت ممكن .
يتم احتواء النزاع بقيام القوات المكلفة بتنفيذ أعمال خاصة تتمثل عادة في عزل منطقة النزاع عن طريق وضع الحواجز، قطع طرق المواصلات، السيطرة على تقاطعات الطرق، الجسور، المضائق الجبلية بالإضافة إلى توجيه ضربات على القوى والوسائل القريبة من منطقة النزاع. 
وفقا لطبيعة النزاع المسلح وظروف الموقف، يمكن أن يتم احتواء النزاع عن طريق أحد أطرافه أو بتدخل طرف محايد (قوات حفظ السلم).";"Consiste à empêcher l’accès  des formations armées et l’acheminement des moyens matériels à la zone du conflit que ce soit par voie terrestre, maritime  ou aérienne, afin  de limiter la propagation des confrontations, la réduction de l’intensité des actions de combat et l’instauration des conditions favorables à la  résolution pacifique du conflit dans les plus brefs délais.
Pour contenir le conflit armé et afin d’isoler la zone du conflit, les forces en charge de cette mission, exécutent des actions spécifiques, telles que : l’installation de barrage, la rupture des voies de communication, l’occupation des intersections de routes, des ponts et passages obligés. Des frappes sur les forces et moyens se trouvant près de la zone de conflit peuvent être portées. Selon sa nature et les conditions de la situation, le conflit peut être contenu par l’une des parties ou par l'intervention d'une partie neutre (forces de maintien de la paix).";إستراتيجية;20
9;9;احتياط الأخطار الكبرى;La réserve des risques majeurs;يتشكل احتياط الأخطار الكبرى  من الوسائل والمواد و المنشآت  الموجهة لتسيير الأزمات و الكوارث.;La réserve des risques majeurs est constituée de moyens, produits et infrastructures, destinés à la gestion de crises et de catastrophes.;لوجيستيك;20
10;10;الاحتياط الاستراتيجي;Réserve stratégique;يتمثل في عناصر السيطرة، التشكيلات الكبرى، تشكيلات ووحدات أنواع القوات المسلحة، أصناف القوات، القوات الخاصة والمؤخرات، الموضوعة تحت تصرف القائد الأعلى والمستخدمة وفقا لقراره بالإضافة إلى احتياطات الوسائل المادية المتواجدة على مستوى قواعد التخزين المركزية.;Il s’agit des éléments de la conduite, des grandes formations, des formations et unités relevant de différents types des forces armées, des forces de soutien multiforme et des arrières, mises à la disposition du chef suprême et qui sont employées conformément à sa décision. Sous le chapitre de réserve stratégique, on compte aussi les moyens matériels existants au niveau des bases centrales de stockage.;إستراتيجية;20
